date,code,name,new_price,price_pct,net_amount,net_super_amount,net_large_amount,net_middle_amount,net_small_amount
2022-03-21,ts002212,天融信,11.88,-0.5,-30885245.0,-32106119.0,1220874.0,8751186.0,22134058.0
2022-03-21,ts002642,荣联科技,6.71,-1.18,-31044418.0,-19415491.0,-11628927.0,-1658388.0,32702806.0
2022-03-21,ts002805,丰元股份,35.82,-1.38,-31125911.0,-15259654.0,-15866257.0,488178.0,30637732.0
2022-03-21,ts300167,迪威迅,7.15,-0.42,-31224824.0,-4071364.0,-27153460.0,1530054.0,29694770.0
2022-03-21,ts000959,首钢股份,5.09,-0.39,-31262584.0,-24226080.0,-7036504.0,6996006.0,24266579.0
2022-03-21,ts600733,北汽蓝谷,7.45,-1.19,-31273961.0,-1683213.0,-29590748.0,8874090.0,22399872.0
2022-03-21,ts300279,和晶科技,7.85,-2.48,-31643777.0,-3697100.0,-27946677.0,-4547969.0,36191746.0
2022-03-21,ts601600,中国铝业,6.16,3.01,-31962847.0,-52981583.0,21018736.0,-11077152.0,43040000.0
2022-03-21,ts601288,农业银行,2.94,-0.68,-32115136.0,-70964752.0,38849616.0,44081463.0,-11966326.0
2022-03-21,ts300310,宜通世纪,5.97,-1.0,-32522651.0,-35726545.0,3203894.0,10645878.0,21876774.0
2022-03-21,ts002139,拓邦股份,11.01,-0.18,-32560629.0,-6174702.0,-26385927.0,-4433787.0,36994416.0
2022-03-21,ts300746,汉嘉设计,17.3,-2.37,-32740914.0,-12531756.0,-20209158.0,-8036223.0,40777138.0
2022-03-21,ts300254,仟源医药,11.85,3.4,-32828409.0,873851.0,-33702260.0,13089099.0,19739311.0
2022-03-21,ts002885,京泉华,24.08,-1.19,-32906413.0,-13107311.0,-19799102.0,-11708770.0,44615183.0
2022-03-21,ts002585,双星新材,20.87,-1.09,-33243001.0,-34083036.0,840035.0,28099181.0,5143820.0
2022-03-21,ts600499,科达制造,20.27,-1.12,-33337357.0,-45738911.0,12401554.0,7098214.0,26239142.0
2022-03-21,ts002350,北京科锐,7.69,-1.41,-33582868.0,-14108312.0,-19474556.0,4881642.0,28701225.0
2022-03-21,ts300093,金刚玻璃,38.31,-1.97,-33963103.0,-2438960.0,-31524143.0,1506740.0,32456363.0
2022-03-21,ts601666,平煤股份,13.78,5.11,-34041243.0,-27899627.0,-6141616.0,5221776.0,28819467.0
2022-03-21,ts002602,世纪华通,6.12,-1.45,-34104970.0,-39568949.0,5463979.0,16248248.0,17856721.0
2022-03-21,ts600016,民生银行,3.69,-1.07,-34162518.0,-35464556.0,1302038.0,13353458.0,20809059.0
2022-03-21,ts600446,金证股份,13.53,-0.88,-34183375.0,-13215613.0,-20967762.0,10029781.0,24153593.0
2022-03-21,ts000861,海印股份,3.58,2.87,-34300140.0,-38736337.0,4436197.0,21508821.0,12791319.0
2022-03-21,ts000626,远大控股,18.18,2.25,-34546489.0,-58726629.0,24180140.0,27898836.0,6647651.0
2022-03-21,ts301215,中汽股份,8.08,-1.94,-35124633.0,-6105063.0,-29019570.0,-13813936.0,48938569.0
2022-03-21,ts601995,中金公司,42.18,-1.45,-35391759.0,-23721115.0,-11670644.0,-7871568.0,43263328.0
2022-03-21,ts000711,京蓝科技,3.52,-1.4,-35414685.0,-25514737.0,-9899948.0,-391893.0,35806577.0
2022-03-21,ts002177,御银股份,5.59,-5.09,-35791879.0,-21489464.0,-14302415.0,-4807576.0,40599456.0
2022-03-21,ts600703,三安光电,25.65,0.23,-35820824.0,-57886536.0,22065712.0,12393312.0,23427520.0
2022-03-21,ts600918,中泰证券,8.33,-1.3,-36040414.0,-17722613.0,-18317801.0,9547276.0,26493138.0
2022-03-21,ts002943,宇晶股份,32.94,-3.32,-36291292.0,-24679948.0,-11611344.0,-15471022.0,51762314.0
2022-03-21,ts603993,洛阳钼业,5.22,0.97,-36339433.0,-2758756.0,-33580677.0,-21328620.0,57668048.0
2022-03-21,ts601788,光大证券,12.63,-1.25,-36398137.0,-32341681.0,-4056456.0,5838712.0,30559424.0
2022-03-21,ts300588,熙菱信息,17.36,-1.64,-36433121.0,-21480847.0,-14952274.0,11941995.0,24491126.0
2022-03-21,ts603650,彤程新材,40.25,-2.4,-36465146.0,-13879623.0,-22585523.0,6148632.0,30316514.0
2022-03-21,ts600165,新日恒力,9.11,-2.04,-36662818.0,-21533832.0,-15128986.0,15431372.0,21231446.0
2022-03-21,ts001979,招商蛇口,13.51,-3.29,-36756532.0,-24625744.0,-12130788.0,12799894.0,23956639.0
2022-03-21,ts601099,太平洋,2.94,-1.34,-36887734.0,-30906393.0,-5981341.0,2353155.0,34534579.0
2022-03-21,ts600771,广誉远,32.05,-0.19,-37020513.0,-18512770.0,-18507743.0,4378628.0,32641884.0
2022-03-21,ts600318,新力金融,13.21,-3.37,-37054165.0,-32394155.0,-4660010.0,19625629.0,17428540.0
2022-03-21,ts300418,昆仑万维,16.55,-1.08,-37257075.0,-47026701.0,9769626.0,33983461.0,3273614.0
2022-03-21,ts000767,晋控电力,3.77,-1.57,-37371468.0,-24415324.0,-12956144.0,9816975.0,27554493.0
2022-03-21,ts000568,泸州老窖,205.4,0.75,-37503509.0,-33829197.0,-3674312.0,60466544.0,-22963040.0
2022-03-21,ts600777,新潮能源,2.04,0.49,-37633849.0,-20062714.0,-17571135.0,1439896.0,36193952.0
2022-03-21,ts002249,大洋电机,6.29,-0.47,-37726315.0,-42858053.0,5131738.0,19440902.0,18285414.0
